Month	L	M	S	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
205	-1.1826	21.1925	0.12726	13.965	15.465	16.965	18.823	21.192	24.327	28.687	35.215	41.743
206	-1.1688	21.2423	0.12736	13.981	15.489	16.997	18.864	21.242	24.383	28.742	35.24	41.737
207	-1.155	21.2914	0.12746	13.996	15.512	17.028	18.904	21.291	24.439	28.797	35.264	41.732
208	-1.141	21.34	0.12756	14.01	15.534	17.059	18.944	21.34	24.494	28.85	35.287	41.724
209	-1.127	21.388	0.12767	14.023	15.556	17.089	18.983	21.388	24.549	28.903	35.31	41.718
210	-1.1129	21.4354	0.12777	14.036	15.577	17.118	19.022	21.435	24.603	28.954	35.331	41.708
211	-1.0986	21.4822	0.12787	14.048	15.598	17.147	19.06	21.482	24.656	29.005	35.351	41.697
212	-1.0843	21.5285	0.12797	14.06	15.618	17.176	19.097	21.528	24.708	29.054	35.369	41.685
213	-1.0699	21.5742	0.12807	14.071	15.637	17.204	19.134	21.574	24.76	29.103	35.387	41.671
214	-1.0553	21.6193	0.12816	14.081	15.656	17.231	19.171	21.619	24.811	29.15	35.402	41.653
215	-1.0407	21.6638	0.12826	14.091	15.674	17.258	19.207	21.664	24.861	29.197	35.417	41.638
216	-1.026	21.7077	0.12836	14.1	15.692	17.284	19.242	21.708	24.911	29.243	35.432	41.621
217	-1.0112	21.751	0.12845	14.108	15.709	17.31	19.277	21.751	24.959	29.287	35.443	41.6
218	-0.9962	21.7937	0.12855	14.116	15.725	17.335	19.311	21.794	25.008	29.331	35.455	41.58
219	-0.9812	21.8358	0.12864	14.123	15.741	17.36	19.344	21.836	25.055	29.373	35.465	41.558
220	-0.9661	21.8773	0.12874	14.129	15.756	17.383	19.377	21.877	25.102	29.415	35.476	41.536
221	-0.9509	21.9182	0.12883	14.135	15.771	17.407	19.41	21.918	25.147	29.455	35.483	41.512
222	-0.9356	21.9585	0.12893	14.14	15.784	17.429	19.442	21.958	25.193	29.496	35.492	41.488
223	-0.9202	21.9982	0.12902	14.144	15.798	17.452	19.473	21.998	25.237	29.534	35.498	41.461
224	-0.9048	22.0374	0.12911	14.148	15.811	17.473	19.504	22.037	25.281	29.572	35.503	41.434
225	-0.8892	22.076	0.1292	14.151	15.823	17.495	19.535	22.076	25.324	29.609	35.507	41.406
226	-0.8735	22.114	0.1293	14.153	15.834	17.515	19.564	22.114	25.366	29.646	35.512	41.378
227	-0.8578	22.1514	0.12939	14.155	15.845	17.535	19.594	22.151	25.408	29.681	35.515	41.348
228	-0.8419	22.1883	0.12948	14.156	15.855	17.554	19.622	22.188	25.449	29.716	35.516	41.317
